gallagher_bi,gallagher_uni,lh_bi,lh_uni,bonus_max_bi,bonus_max_uni,n_partidos_bi,n_partidos_uni,plan_id,source
11.7072,11.7072,27.5564,27.5564,9.9634,9.9634,14,14,55,sintético
11.0645,11.0645,26.6164,26.6164,9.3182,9.3182,16,16,56,sintético
12.7397,12.7397,32.2668,32.2668,10.6085,10.6085,14,14,57,sintético
11.4156,11.4156,28.8265,28.8265,9.9357,9.9357,14,14,58,sintético
11.3621,11.3621,27.5564,27.5564,9.3182,9.3182,16,16,59,sintético
11.5853,11.5853,26.9112,26.9112,9.9634,9.9634,15,15,60,sintético
12.8644,12.8644,29.8423,29.8423,11.8989,11.8989,15,15,61,sintético
13.5145,13.5145,31.5838,31.5838,11.2537,11.2537,14,14,62,sintético
12.1945,12.1945,29.4919,29.4919,9.9357,9.9357,15,15,63,sintético
11.1349,11.1349,26.6369,26.6369,9.9357,9.9357,14,14,64,sintético
11.8001,11.8001,28.5124,28.5124,9.9634,9.9634,15,15,65,sintético
11.8661,11.8661,28.2016,28.2016,11.2537,11.2537,17,17,66,sintético
11.6179,11.6179,27.5564,27.5564,10.5809,10.5809,16,16,67,sintético
11.0403,11.0403,27.282,27.282,9.3182,9.3182,15,15,68,sintético
11.7662,11.7662,28.5724,28.5724,9.9634,9.9634,15,15,69,sintético
11.9327,11.9327,27.9872,27.9872,9.9634,9.9634,15,15,70,sintético
12.0462,12.0462,29.8423,29.8423,9.9634,9.9634,15,15,71,sintético
11.4762,11.4762,26.9112,26.9112,9.9634,9.9634,15,15,72,sintético
12.7066,12.7066,27.9068,27.9068,11.2537,11.2537,17,17,73,sintético
11.9034,11.9034,28.2016,28.2016,11.8989,11.8989,14,14,74,sintético
12.7158,12.7158,29.6279,29.6279,10.6085,10.6085,17,17,75,sintético
11.5205,11.5205,26.9112,26.9112,9.9634,9.9634,14,14,76,sintético
11.959,11.959,28.2016,28.2016,10.6085,10.6085,15,15,77,sintético
10.0966,10.0966,23.6854,23.6854,9.9634,9.9634,15,15,78,sintético
11.9542,11.9542,27.9872,27.9872,11.2537,11.2537,16,16,79,sintético
12.9887,12.9887,33.3629,33.3629,10.6085,10.6085,13,13,80,sintético
12.4809,12.4809,30.1168,30.1168,11.226,11.226,15,15,81,sintético
11.9597,11.9597,28.8467,28.8467,9.9634,9.9634,15,15,82,sintético
11.7999,11.7999,28.8467,28.8467,10.6085,10.6085,16,16,83,sintético
11.6425,11.6425,27.342,27.342,10.6085,10.6085,16,16,84,sintético
12.2309,12.2309,28.5519,28.5519,10.5809,10.5809,17,17,85,sintético
11.9017,11.9017,28.8467,28.8467,10.5809,10.5809,15,15,86,sintético
12.5246,12.5246,26.6969,26.6969,12.544,12.544,16,16,87,sintético
10.1932,10.1932,23.4711,23.4711,9.3182,9.3182,17,17,88,sintético
12.6416,12.6416,32.3834,32.3834,11.2537,11.2537,16,16,89,sintético
11.0474,11.0474,24.9758,24.9758,10.5809,10.5809,14,14,90,sintético
11.3037,11.3037,26.9112,26.9112,9.9357,9.9357,14,14,91,sintético
12.143,12.143,28.8467,28.8467,11.2537,11.2537,14,14,92,sintético
11.3659,11.3659,26.8345,26.8345,10.6085,10.6085,15,15,93,sintético
11.834,11.834,29.4919,29.4919,11.2537,11.2537,14,14,94,sintético
11.9375,11.9375,30.1371,30.1371,9.9634,9.9634,15,15,95,sintético
10.8881,10.8881,27.282,27.282,9.3182,9.3182,15,15,96,sintético
11.2493,11.2493,25.4066,25.4066,11.2537,11.2537,16,16,97,sintético
12.2607,12.2607,28.8467,28.8467,11.8989,11.8989,14,14,98,sintético
12.6907,12.6907,30.1371,30.1371,11.226,11.226,14,14,99,sintético
12.0456,12.0456,28.2016,28.2016,10.5809,10.5809,17,17,100,sintético
11.9198,11.9198,28.5519,28.5519,10.5809,10.5809,16,16,101,sintético
13.2662,13.2662,29.4919,29.4919,12.544,12.544,14,14,102,sintético
11.367,11.367,26.9872,26.9872,10.6085,10.6085,14,14,103,sintético
13.1834,13.1834,31.153,31.153,12.544,12.544,15,15,104,sintético
11.7041,11.7041,29.1971,29.1971,9.9357,9.9357,15,15,105,sintético
13.1672,13.1672,30.1371,30.1371,11.2537,11.2537,15,15,106,sintético
12.7155,12.7155,29.4919,29.4919,11.8989,11.8989,17,17,107,sintético
13.3237,13.3237,31.4274,31.4274,11.226,11.226,14,14,108,sintético
11.9583,11.9583,30.3721,30.3721,9.9357,9.9357,16,16,109,sintético
11.3218,11.3218,26.2459,26.2459,9.3182,9.3182,14,14,110,sintético
10.1088,10.1088,23.7614,23.7614,9.3182,9.3182,16,16,111,sintético
11.3946,11.3946,27.9068,27.9068,9.3182,9.3182,16,16,112,sintético
12.23,12.23,28.2016,28.2016,12.544,12.544,16,16,113,sintético
11.4598,11.4598,27.831,27.831,10.6085,10.6085,14,14,114,sintético
11.7182,11.7182,27.831,27.831,9.9357,9.9357,16,16,115,sintético
11.0353,11.0353,25.0927,25.0927,11.226,11.226,17,17,116,sintético
11.0091,11.0091,26.891,26.891,9.9357,9.9357,15,15,117,sintético
11.1275,11.1275,26.9112,26.9112,9.9634,9.9634,16,16,118,sintético
11.3805,11.3805,26.5974,26.5974,9.9634,9.9634,18,18,119,sintético
10.7249,10.7249,26.2661,26.2661,9.9634,9.9634,14,14,120,sintético
10.9693,10.9693,26.2661,26.2661,9.2905,9.2905,16,16,121,sintético
12.1823,12.1823,27.7128,27.7128,12.544,12.544,15,15,122,sintético
10.8988,10.8988,25.3466,25.3466,9.3182,9.3182,16,16,123,sintético
11.616,11.616,26.6969,26.6969,9.9634,9.9634,17,17,124,sintético
12.2336,12.2336,28.4761,28.4761,10.6085,10.6085,15,15,125,sintético
12.8277,12.8277,29.4919,29.4919,13.1892,13.1892,14,14,126,sintético
13.2947,13.2947,30.7822,30.7822,11.8712,11.8712,14,14,127,sintético
12.1474,12.1474,28.8467,28.8467,10.6085,10.6085,17,17,128,sintético
11.3188,11.3188,26.6969,26.6969,9.9357,9.9357,15,15,129,sintético
11.344,11.344,26.6971,26.6971,9.9357,9.9357,14,14,130,sintético
11.1906,11.1906,25.9917,25.9917,9.9634,9.9634,17,17,131,sintético
10.2226,10.2226,24.6052,24.6052,8.673,8.673,15,15,132,sintético
10.8665,10.8665,26.2661,26.2661,9.2905,9.2905,15,15,133,sintético
11.2341,11.2341,24.9362,24.9362,10.6085,10.6085,17,17,134,sintético
11.3797,11.3797,25.6209,25.6209,10.6085,10.6085,17,17,135,sintético
11.8574,11.8574,27.4194,27.4194,10.5809,10.5809,15,15,136,sintético
14.0412,14.0412,32.7177,32.7177,13.1892,13.1892,14,14,137,sintético
13.1716,13.1716,30.1371,30.1371,11.8712,11.8712,14,14,138,sintético
11.4783,11.4783,28.2016,28.2016,9.3182,9.3182,18,18,139,sintético
11.0336,11.0336,26.6164,26.6164,9.3182,9.3182,16,16,140,sintético
12.6551,12.6551,28.2016,28.2016,12.544,12.544,15,15,141,sintético
12.2587,12.2587,28.5519,28.5519,10.5809,10.5809,17,17,142,sintético
13.0229,13.0229,32.0725,32.0725,11.226,11.226,14,14,143,sintético
11.432,11.432,27.5564,27.5564,9.9634,9.9634,15,15,144,sintético
11.5184,11.5184,27.5564,27.5564,10.6085,10.6085,14,14,145,sintético
11.5191,11.5191,26.9112,26.9112,9.9357,9.9357,17,17,146,sintético
12.1305,12.1305,28.9069,28.9069,10.6085,10.6085,16,16,147,sintético
12.1705,12.1705,29.4919,29.4919,10.6085,10.6085,17,17,148,sintético
12.5806,12.5806,27.0677,27.0677,11.8989,11.8989,17,17,149,sintético
12.0418,12.0418,28.2016,28.2016,11.2537,11.2537,13,13,150,sintético
10.5388,10.5388,24.3104,24.3104,9.2905,9.2905,14,14,151,sintético
12.0747,12.0747,26.9112,26.9112,11.2537,11.2537,15,15,152,sintético
11.142,11.142,26.5407,26.5407,9.3182,9.3182,18,18,153,sintético
11.7876,11.7876,28.9574,28.9574,9.9357,9.9357,15,15,154,sintético
11.2519,11.2519,27.2616,27.2616,10.6085,10.6085,15,15,155,sintético
11.5591,11.5591,27.342,27.342,9.9634,9.9634,16,16,156,sintético
12.3009,12.3009,26.8473,26.8473,11.8712,11.8712,18,18,157,sintético
11.5464,11.5464,27.2616,27.2616,9.9634,9.9634,17,17,158,sintético
12.4657,12.4657,29.7857,29.7857,10.6085,10.6085,14,14,159,sintético
12.1004,12.1004,30.1371,30.1371,9.3182,9.3182,14,14,160,sintético
11.9363,11.9363,28.8467,28.8467,10.6085,10.6085,14,14,161,sintético
11.8114,11.8114,26.9112,26.9112,11.2537,11.2537,16,16,162,sintético
9.63,9.63,24.0562,24.0562,8.0279,8.0279,16,16,163,sintético
11.4163,11.4163,25.4066,25.4066,10.6085,10.6085,17,17,164,sintético
10.801,10.801,25.5638,25.5638,10.6085,10.6085,14,14,165,sintético
11.0162,11.0162,24.9758,24.9758,9.9634,9.9634,15,15,166,sintético
11.7222,11.7222,29.6279,29.6279,9.3182,9.3182,16,16,167,sintético
11.1381,11.1381,24.681,24.681,9.9357,9.9357,16,16,168,sintético
11.3628,11.3628,26.6969,26.6969,9.3182,9.3182,14,14,169,sintético
11.7297,11.7297,28.8467,28.8467,10.6085,10.6085,16,16,170,sintético
11.7514,11.7514,26.9112,26.9112,9.9634,9.9634,16,16,171,sintético
12.1595,12.1595,28.5519,28.5519,11.2537,11.2537,15,15,172,sintético
12.1701,12.1701,29.2175,29.2175,11.2537,11.2537,13,13,173,sintético
13.0658,13.0658,29.9227,29.9227,13.1892,13.1892,14,14,174,sintético
11.8551,11.8551,28.8467,28.8467,10.6085,10.6085,16,16,175,sintético
12.9993,12.9993,28.2016,28.2016,12.544,12.544,14,14,176,sintético
12.3675,12.3675,30.1371,30.1371,10.6085,10.6085,13,13,177,sintético
11.5912,11.5912,28.5519,28.5519,10.6085,10.6085,14,14,178,sintético
11.4436,11.4436,25.6209,25.6209,9.9634,9.9634,16,16,179,sintético
10.5497,10.5497,24.4066,24.4066,9.2905,9.2905,16,16,180,sintético
12.7634,12.7634,29.9227,29.9227,11.2537,11.2537,16,16,181,sintético
12.1063,12.1063,27.6087,27.6087,10.6085,10.6085,16,16,182,sintético
11.9299,11.9299,26.2661,26.2661,10.6085,10.6085,16,16,183,sintético
12.4317,12.4317,31.153,31.153,10.6085,10.6085,13,13,184,sintético
12.7111,12.7111,30.1371,30.1371,11.8989,11.8989,16,16,185,sintético
11.9526,11.9526,28.2618,28.2618,9.9634,9.9634,15,15,186,sintético
12.4318,12.4318,29.2175,29.2175,11.226,11.226,14,14,187,sintético
12.7962,12.7962,30.1973,30.1973,11.2537,11.2537,15,15,188,sintético
11.9372,11.9372,28.2776,28.2776,9.9634,9.9634,18,18,189,sintético
11.6628,11.6628,28.5519,28.5519,11.2537,11.2537,14,14,190,sintético
11.2845,11.2845,25.3466,25.3466,9.9634,9.9634,15,15,191,sintético
10.8898,10.8898,24.9758,24.9758,9.3182,9.3182,15,15,192,sintético
13.0725,13.0725,31.7982,31.7982,11.2537,11.2537,14,14,193,sintético
12.1711,12.1711,27.2616,27.2616,10.6085,10.6085,16,16,194,sintético
12.1501,12.1501,26.9715,26.9715,10.6085,10.6085,17,17,195,sintético
11.5538,11.5538,27.0472,27.0472,10.6085,10.6085,15,15,196,sintético
11.9933,11.9933,28.3376,28.3376,10.6085,10.6085,14,14,197,sintético
11.3087,11.3087,26.4225,26.4225,9.9634,9.9634,16,16,198,sintético
10.5146,10.5146,25.3261,25.3261,9.3182,9.3182,16,16,199,sintético
